t	X1	X2
1598	0.801497143	0.896456268
1599	0.656977352	0.828404941
1600	0.781988385	0.859725823
1601	0.67813299	0.846167319
1602	0.782034688	0.91339739
1603	0.712071271	0.81351424
1604	0.764828729	0.874421175
1605	0.803104113	0.86628582
1606	0.842711145	0.897659001
1607	0.706645734	0.892687691
1608	0.720803746	1.000648898
1609	0.648840968	0.824269407
1610	0.796683184	0.913847585
1611	0.751988554	0.866332551
1612	0.885375743	0.816313871
1613	0.727035304	0.857394888
1614	0.840046636	0.964751166
1615	0.776886163	0.811265491
1616	0.721260538	0.799110142
1617	0.759578485	0.789519572
1618	0.777395684	0.942772702
1619	0.825579301	0.899989931
1620	0.767580152	0.807773896
1621	0.776683173	0.804031899
1622	0.771618316	0.800637881
1623	0.767475072	0.81763634
1624	0.782597629	0.726250786
1625	0.882695016	0.833188673
1626	0.739260248	0.680376484
1627	0.860954757	0.763849185
1628	0.82319159	0.802091831
1629	0.829764582	0.782012582
1630	0.854522378	0.892642859
1631	0.816776842	0.81981608
1632	0.878046724	0.770585207
1633	0.776957914	0.743979099
1634	0.797550589	0.779320366
1635	0.784242356	0.931448562
1636	0.800819448	0.853420594
1637	0.923252043	0.794730272
1638	0.858296487	0.885192896
1639	0.791685615	0.874777302
1640	0.812246467	0.812570596
1641	0.824439348	0.805936765
1642	0.906962799	0.777648803
1643	0.828355911	0.823202061
1644	0.837460405	0.850224717
1645	0.917253023	0.865046224
1646	0.831491815	0.802554735
1647	0.820660221	0.832462628
1648	0.93286671	0.841943768
1649	0.843058397	0.867891799
1650	0.847787899	0.957541804
1651	0.911075799	0.849477363
1652	0.811465323	0.77409451
1653	0.888820329	0.876322654
1654	0.873504896	0.84431336
1655	0.890375151	0.850105171
1656	0.900700783	0.944511022
1657	0.86013229	0.820445973
1658	0.83487825	0.764376303
1659	0.830836556	0.839577964
1660	0.884097203	0.86364412
1661	0.871847755	0.847906644
1662	0.922934363	0.940524287
1663	0.82477069	0.848493541
