time	X
2739	93.3843
2740	91.3871
2741	89.6293
2742	87.5777
2743	89.2324
2744	79.4762
2745	80.9087
2746	82.5779
2747	87.2968
2748	87.6247
2749	88.6857
2750	89.8134
2751	89.8933
2752	98.6336
2753	99.5674
2754	98.4248
2755	94.1377
2756	95.5831
2757	94.6903
2758	97.191
2759	95.1766
2760	95.3189
2761	98.0131
2762	90.953
2763	91.8803
2764	96.2551
2765	93.7886
2766	98.3692
2767	91.3942
2768	93.5457
2769	98.5155
2770	97.3584
2771	94.8574
2772	98.4583
2773	98.6318
2774	92.8331
2775	88.6347
2776	88.4543
2777	87.0591
2778	83.5664
2779	85.7752
2780	85.3351
2781	81.6812
2782	83.5143
2783	87.3556
2784	84.9374
2785	86.8489
2786	95.7733
2787	96.3465
2788	93.3399
2789	93.7267
2790	91.3282
2791	88.1611
2792	91.3426
2793	94.1889
2794	88.7482
2795	88.9807
2796	89.6178
2797	88.4101
2798	85.9247
2799	89.9951
2800	88.7765
2801	89.1086
2802	89.7765
2803	90.5007
2804	91.0614
2805	99.8937
2806	98.3734
2807	94.3788
2808	89.0622
2809	82.819
2810	83.0763
2811	83.2027
2812	81.0661
2813	84.9178
2814	82.1929
2815	83.743
2816	84.209
2817	83.3915
2818	81.1318
2819	83.4284
2820	85.1848
2821	87.7182
2822	89.5168
2823	89.77
2824	87.1299
2825	90.904
2826	90.257
2827	84.9457
2828	89.3434
2829	90.4951
2830	89.0851
2831	86.3296
2832	89.5603
2833	89.9692
2834	92.5565
2835	99.6618
2836	105.606
2837	96.1615
2838	99.1633
2839	94.2031
2840	91.8404
2841	92.5385
2842	95.4441
2843	98.6565
2844	101.9855
2845	100.6031
2846	97.7006
2847	100.7167
2848	97.1987
2849	94.5385
2850	94.5171
2851	96.207
2852	93.937
2853	95.1705
2854	98.3551
2855	93.0531
2856	89.077
2857	85.8703
2858	81.4096
2859	80.1282
2860	87.2348
2861	89.9574
2862	92.8898
2863	93.9967
2864	90.3664
2865	87.6957
2866	90.3501
2867	88.6559
2868	93.6968
2869	99.8747
2870	100.3422
2871	100.8501
2872	97.7159
2873	96.3369
2874	93.9188
2875	96.8721
2876	94.0073
2877	91.325
2878	93.2893
2879	89.9686
2880	93.2622
2881	91.4801
2882	87.8665
2883	85.968
2884	87.5688
2885	87.2166
2886	90.1491
2887	89.2941
2888	87.1742
2889	86.6365
2890	83.006
2891	88.0356
2892	84.4354
2893	86.3703
2894	88.7279
2895	88.3291
2896	91.9632
2897	94.3643
2898	84.4403
2899	89.8563
2900	84.9395
2901	90.5798
2902	95.5249
2903	91.3122
2904	91.0485
2905	89.7759
2906	87.5724
2907	92.7913
2908	93.7249
2909	91.4877
2910	86.7026
2911	90.2871
2912	90.3972
2913	88.2492
2914	91.7105
2915	98.9674
2916	100.8573
2917	100.0639
2918	93.4477
2919	94.4015
2920	99.0829
2921	95.1253
2922	100.6706
2923	98.2156
2924	97.9356
2925	98.7307
2926	87.748
2927	80.0925
2928	86.4904
2929	85.8319
2930	82.2719
2931	84.1924
2932	87.8648
2933	91.999
2934	90.0691
2935	93.593
2936	89.0896
2937	90.2412
2938	89.7321
2939	83.9923
2940	85.1755
2941	85.5969
2942	89.2727
2943	91.9626
2944	101.3044
2945	100.5908
2946	100.7346
2947	99.6932
2948	95.7072
2949	91.5543
2950	91.419
2951	88.4603
2952	88.1916
2953	87.5993
2954	88.5802
2955	90.1748
2956	96.8267
2957	92.0856
2958	90.3392
2959	83.8363
2960	87.1416
2961	86.4224
2962	80.2972
2963	79.0499
2964	81.5146
2965	80.4341
2966	91.911
2967	97.8545
2968	92.099
2969	88.238
2970	94.5415
2971	94.7783
2972	93.8289
2973	92.8417
2974	91.4661
2975	94.0355
2976	92.0391
2977	92.8555
2978	90.2634
2979	90.5863
2980	94.5404
2981	94.5099
2982	86.364
2983	90.1585
2984	96.1094
2985	97.607
2986	95.786
2987	99.3356
2988	100.384
2989	100.2443
2990	98.5561
2991	97.1035
2992	91.8266
2993	92.4828
2994	93.4073
2995	89.8009
2996	97.4141
2997	102.0418
2998	100.864
2999	95.7409
3000	98.072
3001	100.494
3002	96.3468
3003	95.9137
3004	96.6403
3005	91.7591
3006	93.761
3007	96.7617
3008	98.9869
3009	99.7969
3010	94.2044
3011	94.8446
3012	97.6345
3013	98.771
3014	100.2236
3015	103.448
3016	99.4212
3017	93.4912
3018	91.7953
3019	88.5031
3020	92.1628
3021	93.4285
3022	91.789
3023	88.5608
3024	88.1091
3025	94.8856
3026	91.7798
3027	91.718
3028	89.9999
3029	92.5683
3030	94.6283
3031	94.4875
3032	96.8329
3033	95.9292
3034	92.0123
3035	92.4256
3036	88.341
3037	83.325
3038	89.6658
3039	84.9685
3040	89.1425
3041	91.9978
3042	90.1482
3043	88.0288
3044	92.7892
3045	92.8878
3046	93.6534
3047	95.9211
3048	86.6269
3049	88.1134
3050	84.7001
3051	85.9649
3052	85.6391
3053	84.7932
3054	86.5532
3055	82.4828
3056	82.1196
3057	80.6192
3058	86.7597
3059	87.1779
3060	89.5119
3061	88.5699
3062	91.2927
3063	90.8428
3064	94.3122
3065	96.2136
3066	98.7224
3067	100.6476
3068	99.8442
3069	96.1594
3070	92.6972
3071	92.2166
3072	91.7649
3073	90.827
3074	93.6071
3075	95.5029
3076	95.6626
3077	101.0563
3078	101.5477
3079	99.9096
3080	97.1851
3081	93.8069
3082	90.377
3083	94.4757
3084	91.1165
3085	88.294
3086	88.6815
3087	84.406
3088	91.0474
3089	98.2165
3090	100.3063
3091	97.0046
3092	91.6072
3093	93.7302
3094	91.2097
3095	86.2989
3096	92.4015
3097	90.7823
3098	93.2722
3099	89.461
3100	93.6657
3101	89.2025
3102	85.1229
3103	93.8211
3104	93.5212
3105	95.8665
3106	84.8589
3107	88.6322
3108	90.1614
3109	90.9611
3110	89.6273
3111	92.2971
3112	97.7775
3113	95.8622
3114	97.7181
3115	95.4554
3116	93.1367
3117	92.0489
3118	92.8609
3119	96.013
3120	97.9219
3121	96.6737
3122	92.5515
3123	101.1
3124	100.934
3125	99.1244
3126	98.3261
3127	93.7883
3128	92.4158
3129	92.2578
3130	95.3862
3131	91.1364
3132	96.7449
3133	91.299
3134	86.0084
3135	84.3803
3136	93.3072
3137	97.1943
3138	97.82
3139	99.6373
3140	98.4094
3141	94.9244
3142	90.1418
3143	94.4414
3144	97.4692
3145	95.4278
3146	93.0428
3147	86.7011
3148	91.9046
3149	94.2751
3150	94.885
3151	93.6105
3152	99.7918
3153	99.4491
3154	95.3291
3155	96.3967
3156	93.234
3157	90.6414
3158	92.3977
3159	96.3313
3160	94.9247
3161	97.4723
3162	102.9064
3163	93.1929
3164	92.2079
3165	91.9564
3166	90.9874
3167	88.0473
3168	84.1137
3169	84.7411
3170	81.3382
3171	82.5689
3172	85.6242
3173	86.9119
3174	89.246
3175	87.3582
3176	96.5542
3177	90.9769
3178	90.0996
3179	85.9079
3180	89.3741
3181	86.7434
3182	81.7639
3183	86.3076
3184	88.9507
3185	86.1749
3186	94.3269
3187	89.2471
3188	81.8507
3189	84.6646
3190	81.2
3191	83.8961
3192	80.9906
3193	81.3031
3194	85.5229
